RECHTSTRÄGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Gemeindeverband für Aufgaben des Umweltschutzes im Gerichtsbezirk Laa an der Thaya;20124;4;1;;
Gemeindeverband für das Pensionsrecht der Tiroler Gemeindebeamten;20124;2;1;;
Gemeindeverband für das Pensionsrecht der Tiroler Gemeindebeamten;20124;4;1;;
Gemeindeverband für die Entschädigungen ausgeschiedener Bürgermeister;20124;2;1;;
Gemeindeverband für die Entschädigungen ausgeschiedener Bürgermeister;20124;4;1;;
Gemeindeverband für die Kranken- und Unfallfürsorge der Tiroler Gemeindebeamten;20124;2;1;;
Gemeindeverband für die Kranken- und Unfallfürsorge der Tiroler Gemeindebeamten;20124;4;1;;
Gemeindeverband für Umweltschutz im Bezirk Scheibbs;20124;2;1;;
Gemeindeverband für Umweltschutz im Bezirk Scheibbs;20124;4;1;;
Gemeindeverband für Umweltschutz in der Region Amstetten;20124;2;1;;
Gemeindeverband für Umweltschutz in der Region Amstetten;20124;4;1;;
Gemeindeverband für Umweltschutz und Abgabeneinhebung im Bezirk Melk;20124;2;1;;
Gemeindeverband für Umweltschutz und Abgabeneinhebung im Bezirk Melk;20124;4;1;;
Gemeindeverband für Umweltschutz und Abgabeneinhebung im Bezirk St. Pölten;20124;2;1;;
Gemeindeverband für Umweltschutz und Abgabeneinhebung im Bezirk St. Pölten;20124;4;1;;
Gemeindeverband für Zuwendungen an ausgeschiedene Bürgermeister;20124;2;1;;
Gemeindeverband für Zuwendungen an ausgeschiedene Bürgermeister;20124;4;1;;
Gemeindeverband Gemeindeblatt des Bezirkes Bregenz;20124;2;1;;
Gemeindeverband Gemeindeblatt des Bezirkes Bregenz;20124;4;1;;
Gemeindeverband Gesunde Region Vorau;20124;2;1;;
Gemeindeverband Gesunde Region Vorau;20124;4;1;;
Gemeindeverband Gewerbepark Blumenegg;20124;2;1;;
Gemeindeverband Gewerbepark Blumenegg;20124;4;1;;
Gemeindeverband Gewerbepark Perschlingtal;20124;2;1;;
Gemeindeverband Gewerbepark Perschlingtal;20124;4;1;;
Gemeindeverband Haus der Senioren Lend-Dienten-Taxenbach;20124;2;1;;
Gemeindeverband Haus der Senioren Lend-Dienten-Taxenbach;20124;4;1;;
Gemeindeverband Haus der Senioren Radstadt;20124;2;1;;
Gemeindeverband Haus der Senioren Radstadt;20124;4;1;;
Gemeindeverband Horn für Abwasserbeseitigung;20124;2;1;;
Gemeindeverband Horn für Abwasserbeseitigung;20124;4;1;;
Gemeindeverband Horn für Wasserversorgung;20124;2;1;;
Gemeindeverband Horn für Wasserversorgung;20124;4;1;;
Gemeindeverband Imsterberg - Mils bei Imst - Schönwies;20124;2;1;;
Gemeindeverband Imsterberg - Mils bei Imst - Schönwies;20124;4;1;;
Gemeindeverband INKOBA Hausruck Nord;20124;2;1;;
Gemeindeverband INKOBA Hausruck Nord;20124;4;1;;
Gemeindeverband INKOBA Kronstorf - Hargelsberg;20124;2;1;;
Gemeindeverband INKOBA Kronstorf - Hargelsberg;20124;4;1;;
Gemeindeverband INKOBA Mühlviertel-Mitte;20124;2;1;;
Gemeindeverband INKOBA Mühlviertel-Mitte;20124;4;1;;
Gemeindeverband INKOBA Oberes Innviertel;20124;2;1;;
Gemeindeverband INKOBA Oberes Innviertel;20124;4;1;;
Gemeindeverband INKOBA Region Freistadt;20124;2;1;;
Gemeindeverband INKOBA Region Freistadt;20124;4;1;;
Gemeindeverband INKOBA SternGartl;20124;2;1;;
Gemeindeverband INKOBA SternGartl;20124;4;1;;
Gemeindeverband Interkommunaler Wirtschaftspark A 5 Mistelbach - Wilfersdorf;20124;2;1;;
Gemeindeverband Interkommunaler Wirtschaftspark A 5 Mistelbach - Wilfersdorf;20124;4;1;;
Gemeindeverband Interkommunales Betriebsgebiet Kleines Erlauftal;20124;2;1;;
Gemeindeverband Interkommunales Betriebsgebiet Kleines Erlauftal;20124;4;1;;
Gemeindeverband Interkommunales Gewerbegebiet Pyhrn-Priel;20124;2;1;;
Gemeindeverband Interkommunales Gewerbegebiet Pyhrn-Priel;20124;4;1;;
Gemeindeverband Karnische Region;20124;2;1;;
Gemeindeverband Karnische Region;20124;4;1;;
"Gemeindeverband ""Kleinregion Kernraum Leibnitz""";20124;2;1;;
"Gemeindeverband ""Kleinregion Kernraum Leibnitz""";20124;4;1;;
Gemeindeverband Konkurrenzverwaltung Höchst-Fußach-Gaißau;20124;2;1;;
Gemeindeverband Konkurrenzverwaltung Höchst-Fußach-Gaißau;20124;4;1;;
Gemeindeverband Krankenhaus und Altersheim Au;20124;2;1;;
Gemeindeverband Krankenhaus und Altersheim Au;20124;4;1;;
Gemeindeverband Leithaprodersdorf / Wimpassing an der Leitha;20124;2;1;;
Gemeindeverband Leithaprodersdorf / Wimpassing an der Leitha;20124;4;1;;
Gemeindeverband Linksseitige Achwuhrkonkurrenz der Gemeinde Wolfurt, Lauterach und Hard;20124;2;1;;
Gemeindeverband Linksseitige Achwuhrkonkurrenz der Gemeinde Wolfurt, Lauterach und Hard;20124;4;1;;
Gemeindeverband Lutzmannsburg-Frankenau/Unterpullendorf;20124;2;1;;
Gemeindeverband Lutzmannsburg-Frankenau/Unterpullendorf;20124;4;1;;
Gemeindeverband Neue Mittelschule Schwaz und Umgebung;20124;2;1;;
Gemeindeverband Neue Mittelschule Schwaz und Umgebung;20124;4;1;;
Gemeindeverband Neustift bei Güssing;20124;2;1;;
Gemeindeverband Neustift bei Güssing;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Achensee;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Achensee;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Brandnertal;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Brandnertal;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Flachgau I;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Flachgau I;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Flachgau II;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Flachgau II;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Großes Walsertal;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Großes Walsertal;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Klostertal;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Klostertal;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Lechtal;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Lechtal;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Oberes Rheintal;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Oberes Rheintal;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Osttirol;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Osttirol;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Pinzgau;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Pinzgau;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Unteres Pinka-und Stremtal;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Unteres Pinka-und Stremtal;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Unteres Rheintal;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Unteres Rheintal;20124;4;1;;
Gemeindeverband Öffentlicher Personennahverkehr Walgau;20124;2;1;;
Gemeindeverband Öffentlicher Personennahverkehr Walgau;20124;4;1;;
Gemeindeverband Ökoregion Kaindorf;20124;2;1;;
Gemeindeverband Ökoregion Kaindorf;20124;4;1;;
Gemeindeverband Paznaun;20124;2;1;;
Gemeindeverband Paznaun;20124;4;1;;
Gemeindeverband Personenseilbahn Muttersberg, Bludenz - Nüziders;20124;2;1;;
Gemeindeverband Personenseilbahn Muttersberg, Bludenz - Nüziders;20124;4;1;;
Gemeindeverband Pflegeheim St. Johann i. T. und Umgebung;20124;2;1;;
Gemeindeverband Pflegeheim St. Johann i. T. und Umgebung;20124;4;1;;
Gemeindeverband Pflegestation Schwaz;20124;2;1;;
Gemeindeverband Pflegestation Schwaz;20124;4;1;;
Gemeindeverband Pitztal;20124;2;1;;
Gemeindeverband Pitztal;20124;4;1;;
Gemeindeverband Polytechnischer Lehrgang und Sonderschule Wipptal SPZ;20124;2;1;;
Gemeindeverband Polytechnischer Lehrgang und Sonderschule Wipptal SPZ;20124;4;1;;
Gemeindeverband Regio Arlberg;20124;2;1;;
Gemeindeverband Regio Arlberg;20124;4;1;;
Gemeindeverband Regio Paznaun;20124;2;1;;
Gemeindeverband Regio Paznaun;20124;4;1;;
Gemeindeverband Region Reinischkogel;20124;2;1;;
Gemeindeverband Region Reinischkogel;20124;4;1;;
Gemeindeverband Regionale Verkehrs- und Wirtschaftsgemeinschaft Grazerfeld - GU8;20124;2;1;;
Gemeindeverband Regionale Verkehrs- und Wirtschaftsgemeinschaft Grazerfeld - GU8;20124;4;1;;
Gemeindeverband Regionalverkehr Donauraum Perg;20124;2;1;;
Gemeindeverband Regionalverkehr Donauraum Perg;20124;4;1;;
Gemeindeverband Regionalverkehr Gusen-Aist-Naarn;20124;2;1;;
Gemeindeverband Regionalverkehr Gusen-Aist-Naarn;20124;4;1;;
Gemeindeverband Regionalverkehr Oberes Mühlviertel;20124;2;1;;
Gemeindeverband Regionalverkehr Oberes Mühlviertel;20124;4;1;;
Gemeindeverband Rettungswesen Bezirk Landeck;20124;2;1;;
Gemeindeverband Rettungswesen Bezirk Landeck;20124;4;1;;
Gemeindeverband Sanitätssprengel Sillian;20124;2;1;;
Gemeindeverband Sanitätssprengel Sillian;20124;4;1;;
Gemeindeverband Sannatal;20124;2;1;;
Gemeindeverband Sannatal;20124;4;1;;
Gemeindeverband Seniorenheim Altenmarkt;20124;2;1;;
Gemeindeverband Seniorenheim Altenmarkt;20124;4;1;;
Gemeindeverband Seniorenheim Hüttau;20124;2;1;;
Gemeindeverband Seniorenheim Hüttau;20124;4;1;;
Gemeindeverband Seniorenpflegeheim Großgmain/Wals-Siezenheim;20124;2;1;;
Gemeindeverband Seniorenpflegeheim Großgmain/Wals-Siezenheim;20124;4;1;;
Gemeindeverband Seniorenpflegeheim Mühlbach/Hkg. - Bischofshofen;20124;2;1;;
Gemeindeverband Seniorenpflegeheim Mühlbach/Hkg. - Bischofshofen;20124;4;1;;
Gemeindeverband Seniorenwohnhaus Bramberg;20124;2;1;;
Gemeindeverband Seniorenwohnhaus Bramberg;20124;4;1;;
Gemeindeverband Seniorenwohnhaus Köstendorf;20124;2;1;;
Gemeindeverband Seniorenwohnhaus Köstendorf;20124;4;1;;
Gemeindeverband Seniorenwohnhaus Maishofen;20124;2;1;;
Gemeindeverband Seniorenwohnhaus Maishofen;20124;4;1;;
Gemeindeverband Seniorenwohnhaus Neumarkt;20124;2;1;;
Gemeindeverband Seniorenwohnhaus Neumarkt;20124;4;1;;
Gemeindeverband Seniorenwohnheim Großarl/Hüttschlag;20124;2;1;;
Gemeindeverband Seniorenwohnheim Großarl/Hüttschlag;20124;4;1;;
Gemeindeverband Seniorenwohnheim Hof und Umgebung;20124;2;1;;
Gemeindeverband Seniorenwohnheim Hof und Umgebung;20124;4;1;;
Gemeindeverband Seniorenwohnheim St. Barbara;20124;2;1;;
Gemeindeverband Seniorenwohnheim St. Barbara;20124;4;1;;
Gemeindeverband Seniorenwohnheim Unteres Saalachtal;20124;2;1;;
Gemeindeverband Seniorenwohnheim Unteres Saalachtal;20124;4;1;;
Gemeindeverband Seniorenwohnheim Uttendorf-Niedernsill;20124;2;1;;
Gemeindeverband Seniorenwohnheim Uttendorf-Niedernsill;20124;4;1;;
Gemeindeverband Seniorenzentrum Zams-Schönwies;20124;2;1;;
Gemeindeverband Seniorenzentrum Zams-Schönwies;20124;4;1;;
Gemeindeverband Sozialzentrum Bezau-Mellau-Reuthe;20124;2;1;;
Gemeindeverband Sozialzentrum Bezau-Mellau-Reuthe;20124;4;1;;
Gemeindeverband Sozialzentrum Satteins-Jagdberg;20124;2;1;;
Gemeindeverband Sozialzentrum Satteins-Jagdberg;20124;4;1;;
Gemeindeverband Sporthalle Ober-Grafendorf;20124;2;1;;
Gemeindeverband Sporthalle Ober-Grafendorf;20124;4;1;;
Gemeindeverband Stand Bregenzerwald;20124;2;1;;
Gemeindeverband Stand Bregenzerwald;20124;4;1;;
Gemeindeverband Stotzing-Loretto;20124;2;1;;
Gemeindeverband Stotzing-Loretto;20124;4;1;;
Gemeindeverband Südöstliches Mittelgebirge Wohn- und Pflegeheim Haus St. Martin;20124;2;1;;
Gemeindeverband Südöstliches Mittelgebirge Wohn- und Pflegeheim Haus St. Martin;20124;4;1;;
Gemeindeverband Tierkörpersammelstelle Bezirk Kitzbühel;20124;2;1;;
Gemeindeverband Tierkörpersammelstelle Bezirk Kitzbühel;20124;4;1;;
Gemeindeverband Wasserverbund Ybbstal;20124;2;1;;
Gemeindeverband Wasserverbund Ybbstal;20124;4;1;;
Gemeindeverband Wasserversorgung an der Schneebergbahn;20124;2;1;;
Gemeindeverband Wasserversorgung an der Schneebergbahn;20124;4;1;;
Gemeindeverband Wasserversorgung Ebenfurth - Pottendorf;20124;2;1;;
Gemeindeverband Wasserversorgung Ebenfurth - Pottendorf;20124;4;1;;
Gemeindeverband Wasserversorgung Gaweinstal - Bad Pirawarth;20124;2;1;;
Gemeindeverband Wasserversorgung Gaweinstal - Bad Pirawarth;20124;4;1;;
Gemeindeverband Wasserversorgung Wolkersdorf - Pillichsdorf;20124;2;1;;
Gemeindeverband Wasserversorgung Wolkersdorf - Pillichsdorf;20124;4;1;;
Gemeindeverband Wasserversorgungsanlage Marbach - Klein-Pöchlarn;20124;2;1;;
Gemeindeverband Wasserversorgungsanlage Marbach - Klein-Pöchlarn;20124;4;1;;
Gemeindeverband Wasserwerk Hard-Fußach;20124;2;1;;
Gemeindeverband Wasserwerk Hard-Fußach;20124;4;1;;
Gemeindeverband Weinviertel Klinikum;20124;2;1;;
Gemeindeverband Weinviertel Klinikum;20124;4;1;;
Gemeindeverband Wirtschaftshof Ottensheim-Puchenau;20124;2;1;;
Gemeindeverband Wirtschaftshof Ottensheim-Puchenau;20124;4;1;;
Gemeindeverband Wohn- und Pflegeheim Grins;20124;2;1;;
Gemeindeverband Wohn- und Pflegeheim Grins;20124;4;1;;
Gemeindeverband Wohn- und Pflegeheim Imst und Umgebung;20124;2;1;;
Gemeindeverband Wohn- und Pflegeheim Imst und Umgebung;20124;4;1;;
Gemeindeverband Wohn- und Pflegeheim Oberes Stanzertal;20124;2;1;;
Gemeindeverband Wohn- und Pflegeheim Oberes Stanzertal;20124;4;1;;
Gemeindeverband Wohn- und Pflegeheim Pitztal;20124;2;1;;
Gemeindeverband Wohn- und Pflegeheim Pitztal;20124;4;1;;
Gemeindeverband Wohn- und Pflegeheim Region Haiming - Vorderes Ötztal;20124;2;1;;
Gemeindeverband Wohn- und Pflegeheim Region Haiming - Vorderes Ötztal;20124;4;1;;
Gemeindeverband Wohn- und Pflegeheim Vorderes Stubaital;20124;2;1;;
Gemeindeverband Wohn- und Pflegeheim Vorderes Stubaital;20124;4;1;;
Gemeindeverband zu Einhebung der Seuchenvorsorgeabgabe im Bezirk Waidhofen an der Thaya;20124;2;1;;
Gemeindeverband zu Einhebung der Seuchenvorsorgeabgabe im Bezirk Waidhofen an der Thaya;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Baden;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Baden;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Bruck/Leitha;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Bruck/Leitha;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Gänserndorf;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Gänserndorf;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Gmünd;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Gmünd;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Hollabrunn;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Hollabrunn;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Horn;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Horn;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Krems;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Krems;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Melk;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Melk;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Mödling;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Mödling;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Scheibbs;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Scheibbs;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk St. Pölten;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk St. Pölten;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Zwettl;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Bezirk Zwettl;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Raum Schwechat;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe im Raum Schwechat;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe in der Region Amstetten;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe in der Region Amstetten;20124;4;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe in der Region Tulln;20124;2;1;;
Gemeindeverband zur Einhebung der Seuchenvorsorgeabgabe in der Region Tulln;20124;4;1;;
Gemeindeverband zur Förderung des Krankenhauses St. Vinzenz in Zams;20124;2;1;;
Gemeindeverband zur Förderung des Krankenhauses St. Vinzenz in Zams;20124;4;1;;
Gemeindeverband zur Pensionsauszahlung an Gemeindebeamte;20124;2;1;;
Gemeindeverband zur Pensionsauszahlung an Gemeindebeamte;20124;4;1;;
Gemeindeverband Zweidrittelgericht;20124;2;1;;
Gemeindeverband Zweidrittelgericht;20124;4;1;;
Gemeindeverband 3G;20124;2;1;;
Gemeindeverband 3G;20124;4;1;;
Gemeindewasserleitungsverband Ternitz und Umgebung;20124;2;1;;
Gemeindewasserleitungsverband Ternitz und Umgebung;20124;4;1;;
Gemeindewasserleitungsverband Unteres Pitten- u.Schwarzatal;20124;2;1;;
Gemeindewasserleitungsverband Unteres Pitten- u.Schwarzatal;20124;4;1;;
Gemeindewasserversorgungsverband Amstetten;20124;2;1;;
Gemeindewasserversorgungsverband Amstetten;20124;4;1;;
Gemeindewasserversorgungsverband Mittleres Ybbstal;20124;2;1;;
Gemeindewasserversorgungsverband Mittleres Ybbstal;20124;4;1;;
Gemeindewerke Telfs Gesellschaft m.b.H.;20124;2;1;;
Gemeindewerke Telfs Gesellschaft m.b.H.;20124;4;1;;
Gemeinnützige Donau-Ennstaler Siedlungs- Aktiengesellschaft;20124;2;0;Österreich;6063,75
Gemeinnützige Donau-Ennstaler Siedlungs- Aktiengesellschaft;20124;4;1;;
Gemeinnützige Mistelbacher Museums und Kunst BetriebsgmbH;20124;2;1;;
Gemeinnützige Mistelbacher Museums und Kunst BetriebsgmbH;20124;4;1;;
Gemeinnützige Pflegezentrum Salzburg GmbH;20124;2;1;;
Gemeinnützige Pflegezentrum Salzburg GmbH;20124;4;1;;
Gemeinnützige Salzburger Landeskliniken Betriebsgesellschaft mbH;20124;2;0;Salzburger Nachrichten;24875
Gemeinnützige Salzburger Landeskliniken Betriebsgesellschaft mbH;20124;4;1;;
Gemeinnützige Salzburger Wohnbaugesellschaft m.b.H.;20124;2;0;Salzburger Nachrichten;6616,6
Gemeinnützige Salzburger Wohnbaugesellschaft m.b.H.;20124;2;0;Bezirksblätter Salzburg;8317,92
Gemeinnützige Salzburger Wohnbaugesellschaft m.b.H.;20124;2;0;Kronen Zeitung;13507,6
Gemeinnützige Salzburger Wohnbaugesellschaft m.b.H.;20124;4;1;;
Gemeinnützige Welser Heimstättengenossenschaft, eingetragene Genossenschaft mit beschränkter Haftung;20124;2;1;;
Gemeinnützige Welser Heimstättengenossenschaft, eingetragene Genossenschaft mit beschränkter Haftung;20124;4;1;;
Gemeinnützige Wohnbaugesellschaft mbH Villach;20124;2;1;;
Gemeinnützige Wohnbaugesellschaft mbH Villach;20124;4;1;;
Gemeinnützige Wohnungs- und Siedlungsgesellschaft d. Wiener Stadtwerke GmbH;20124;2;1;;
Gemeinnützige Wohnungs- und Siedlungsgesellschaft d. Wiener Stadtwerke GmbH;20124;4;1;;
Gemeinnützige Wohnungsaktiengesellschaft Wohnpark Alt-Erlaa;20124;2;1;;
Gemeinnützige Wohnungsaktiengesellschaft Wohnpark Alt-Erlaa;20124;4;1;;
Gemeinnützige Wohnungsgesellschaft der KELAG, GmbH;20124;2;1;;
Gemeinnützige Wohnungsgesellschaft der KELAG, GmbH;20124;4;1;;
Gemeinnützige Wohnungsgesellschaft der Stadt Steyr, GmbH;20124;2;1;;
Gemeinnützige Wohnungsgesellschaft der Stadt Steyr, GmbH;20124;4;1;;
Gemeinschaftskraftwerk Inn GmbH;20124;2;1;;
Gemeinschaftskraftwerk Inn GmbH;20124;4;1;;
Gendarmeriejubiläumsfonds 1949;20124;2;1;;
Gendarmeriejubiläumsfonds 1949;20124;4;1;;
Geologische Bundesanstalt;20124;2;1;;
Geologische Bundesanstalt;20124;4;1;;
Georg und Irene Hering-Marsal-Fonds;20124;2;1;;
Georg und Irene Hering-Marsal-Fonds;20124;4;1;;
Georg und Leopoldine Gubinger'sche Stiftung;20124;2;1;;
Georg und Leopoldine Gubinger'sche Stiftung;20124;4;1;;
Geothermie-Wärmegesellschaft Braunau-Simbach mbH;20124;2;1;;
Geothermie-Wärmegesellschaft Braunau-Simbach mbH;20124;4;1;;
Geothermiezentrum Aspern GmbH;20124;2;1;;
Geothermiezentrum Aspern GmbH;20124;4;1;;
Geozentrum Veranstaltungsges.m.b.H.;20124;2;1;;
Geozentrum Veranstaltungsges.m.b.H.;20124;4;1;;
GESIBA Gemeinnützige Siedlungs- und Bauaktiengesellschaft;20124;2;0;Österreich;7956
GESIBA Gemeinnützige Siedlungs- und Bauaktiengesellschaft;20124;4;1;;
Gesundheit Österreich Beratungs GmbH;20124;2;1;;
Gesundheit Österreich Beratungs GmbH;20124;4;1;;
Gesundheit Österreich Forschungs- und Planungs GmbH;20124;2;1;;
Gesundheit Österreich Forschungs- und Planungs GmbH;20124;4;1;;
Gesundheit Österreich GmbH;20124;2;0;Kronen Zeitung;24210
Gesundheit Österreich GmbH;20124;2;0;Österreich;19541,5
Gesundheit Österreich GmbH;20124;2;0;Heute;16762,68
Gesundheit Österreich GmbH;20124;2;0;Kleine Zeitung;13154,7
Gesundheit Österreich GmbH;20124;4;1;;
Gesundheits- und Sozialsprengel Hall-Absam-Gnadenwald-Thaur-Mils;20124;2;1;;
Gesundheits- und Sozialsprengel Hall-Absam-Gnadenwald-Thaur-Mils;20124;4;1;;
Gesundheits- und Sozialsprengel Lienz/Land;20124;2;1;;
Gesundheits- und Sozialsprengel Lienz/Land;20124;4;1;;
Gesundheits- und Sozialsprengel westliches Mittelgebirge;20124;2;1;;
Gesundheits- und Sozialsprengel westliches Mittelgebirge;20124;4;1;;
Gesundheitsfonds Steiermark;20124;2;1;;
Gesundheitsfonds Steiermark;20124;4;1;;
Gesundheitssprengel Adnet, Krispl, Vigaun (Sprengelarztverband);20124;2;1;;
Gesundheitssprengel Adnet, Krispl, Vigaun (Sprengelarztverband);20124;4;1;;
Gesundheitssprengel Altenmarkt;20124;2;1;;
Gesundheitssprengel Altenmarkt;20124;4;1;;
Gesundheitssprengel Bruck u. Fusch;20124;2;1;;
Gesundheitssprengel Bruck u. Fusch;20124;4;1;;
Gesundheitssprengel Faistenau-Hintersee;20124;2;1;;
Gesundheitssprengel Faistenau-Hintersee;20124;4;1;;
Gesundheitssprengel Hollersbach-Bramberg;20124;2;1;;
Gesundheitssprengel Hollersbach-Bramberg;20124;4;1;;
Gesundheitssprengel Mittersill;20124;2;1;;
Gesundheitssprengel Mittersill;20124;4;1;;
Gesundheitssprengel Neukirchen am Großvenediger;20124;2;1;;
Gesundheitssprengel Neukirchen am Großvenediger;20124;4;1;;
Gesundheitssprengel Oberndorf;20124;2;1;;
Gesundheitssprengel Oberndorf;20124;4;1;;
Gesundheitssprengel St. Gilgen;20124;2;1;;
Gesundheitssprengel St. Gilgen;20124;4;1;;
Gesundheitssprengel Wagrain-Kleinarl;20124;2;1;;
Gesundheitssprengel Wagrain-Kleinarl;20124;4;1;;
Gesundheitssprengel Wals-Siezenheim;20124;2;1;;
Gesundheitssprengel Wals-Siezenheim;20124;4;1;;
Gesundheitssprengelausschuss Zell am See;20124;2;1;;
Gesundheitssprengelausschuss Zell am See;20124;4;1;;
GetService Dienstleistungs- gesellschaft m.b.H.;20124;2;1;;
GetService Dienstleistungs- gesellschaft m.b.H.;20124;4;1;;
GetService-Flughafen- Sicherheits-und Servicedienst GmbH;20124;2;1;;
GetService-Flughafen- Sicherheits-und Servicedienst GmbH;20124;4;1;;
Gewässerinstandhaltung Vöcklabruck-Gmunden;20124;2;1;;
Gewässerinstandhaltung Vöcklabruck-Gmunden;20124;4;1;;
GIS Dienstleistungs GmbH;20124;2;1;;
GIS Dienstleistungs GmbH;20124;4;1;;
GIS Gebühren Info Service GmbH;20124;2;0;News Networld, news.at;9881,24
GIS Gebühren Info Service GmbH;20124;2;0;UIM United Internet, gmx.at;6562
GIS Gebühren Info Service GmbH;20124;2;0;Kosmo;5145,52
GIS Gebühren Info Service GmbH;20124;2;0;ORF Ö3;57808
GIS Gebühren Info Service GmbH;20124;2;0;ORF 1;63250
GIS Gebühren Info Service GmbH;20124;2;0;ORF 2;80700
GIS Gebühren Info Service GmbH;20124;2;0;Google Ireland Ltd., Website;5200,21
GIS Gebühren Info Service GmbH;20124;4;1;;
GKB-Bergbau GmbH;20124;2;1;;
GKB-Bergbau GmbH;20124;4;1;;
GLV - Gruberstraße Linz Verwertungsgesellschaft mbH;20124;2;1;;
GLV - Gruberstraße Linz Verwertungsgesellschaft mbH;20124;4;1;;
GMI - Gregor-Mendel-Institut für Molekulare Pflanzenbiologie GmbH;20124;2;1;;
GMI - Gregor-Mendel-Institut für Molekulare Pflanzenbiologie GmbH;20124;4;1;;
Good for Vienna GmbH;20124;2;1;;
Good for Vienna GmbH;20124;4;1;;
GPM Infrastruktur Schladming 2013 GmbH;20124;2;1;;
GPM Infrastruktur Schladming 2013 GmbH;20124;4;1;;
GPS Grazer Parkraum Service Personalbereitstellung GmbH;20124;2;1;;
GPS Grazer Parkraum Service Personalbereitstellung GmbH;20124;4;1;;
Grafisches Zentrum HTU GmbH;20124;2;1;;
Grafisches Zentrum HTU GmbH;20124;4;1;;
